"USER_ID","YOB","Gender","Income","HouseholdStatus","EducationLevel","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024"
3505,33,"Male",12,"Single (no kids)","High School Diploma","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","No","No","Yes","Science","Study first","No","No","Yes","No","Receiving","Yes","No","Idealist","No","Yes","Hot headed","Odd hours","No","Right","Yes","Yes","Yes","No","P.M.","No","End","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","No","No","Talk","Technology","No","No","Yes","No","No","Supportive","No","PC","Yes","Cautious","No","Umm...","No","Space","No","In-person","No","Yes","No","Yes","Grrr people","No","No","No","No","No","No","No","No","No","No","No","No","Own","Pessimist","Dad","No","No","No","No","Nope","No","No","No","Yes","Yes","No","Yes","No","No","Yes"
3511,27,"Male",62.5,"Married (no kids)","High School Diploma","No","Yes","No","Yes","No","Yes","Public","Yes","No","No","Yes","Yes","No","Yes","Art","Study first","No","Yes","No","Yes","Receiving","Yes","Yes","Idealist","Yes","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","P.M.","Yes","Start","Yes","Yes","Circumstances","No","No","No","Yes","No","Mysterious","No","No","Talk","Technology","Yes","No","No","Yes","No","Supportive","Yes","Mac","Yes","Risk-friendly","No","Yes!","No","Socialize","No","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","Own","Optimist","Dad","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No"
3513,54,"Male",170,"Married (w/kids)","Master's Degree","Yes","No","No","Yes","No","Yes","Private","No","Yes","No","No","No","Yes","Yes","Science","Study first","Yes","Yes","Yes","Yes","Giving","No","No","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","No","Start","Yes","Yes","Me","No","Yes","No","Yes","Yes","Mysterious","Yes","Yes","Talk","Technology","Yes","Yes","Yes","No","Yes","Supportive","No","Mac","Yes","Risk-friendly","No","Yes!","No","Space","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","Yes","Own","Optimist","Dad","Yes","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes"
3515,20,"Male",170,"Single (no kids)","Current Undergraduate","Yes","No","No","No","Yes","No","Public","No","Yes","No","No","Yes","Yes","Yes","Science","Study first","No","No","No","Yes","Giving","Yes","No","Idealist","Yes","No","Cool headed","Odd hours","No","Right","Yes","Yes","No","No","P.M.","No","End","No","No","Me","Yes","Yes","No","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","No","No","Yes","Demanding","No","PC","Yes","Risk-friendly","No","Umm...","No","Space","No","Online","No","No","No","Yes","Yay people!","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","Rent","Pessimist","Dad","No","Yes","Yes","Yes","Nope","No","No","No","Yes","No","No","Yes","No","No","No"
3516,33,"Male",87.5,"Married (no kids)","Bachelor's Degree","No","Yes","Yes","No","No","Yes","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","No","No","Yes","Yes","Receiving","Yes","No","Idealist","No","No","Hot headed","Standard hours","Yes","Right","Yes","Yes","Yes","Yes","P.M.","Yes","Start","Yes","Yes","Me","Yes","Yes","Yes","No","Yes","Mysterious","Yes","No","Talk","Technology","No","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Cautious","Yes","Umm...","No","Space","No","Online","No","Yes","Yes","Yes","Grrr people","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","Own","Optimist","Dad","No","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No"
3517,18,"Male",12,"Single (no kids)","Current K-12","Yes","Yes","No","No","No","Yes","Private","No","Yes","No","No","No","Yes","Yes","Science","Study first","No","Yes","No","No","Receiving","No","Yes","Pragmatist","No","Yes","Hot headed","Odd hours","No","Right","No","Yes","No","No","P.M.","Yes","Start","No","No","Me","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","People","No","Yes","Yes","Yes","No","Demanding","No","Mac","No","Cautious","No","Umm...","No","Space","Yes","In-person","No","No","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Own","Pessimist","Dad","No","No","No","Yes","Nope","Yes","No","No","No","No","No","Yes","No","No","Yes"
3519,21,"Female",12,"Single (no kids)","Associate's Degree","Yes","Yes","Yes","No","Yes","No","Public","Yes","No","No","Yes","Yes","No","Yes","Art","Study first","Yes","No","No","No","Giving","Yes","Yes","Idealist","Yes","Yes","Cool headed","Odd hours","No","Right","Yes","Yes","No","Yes","P.M.","Yes","End","Yes","No","Circumstances","Yes","No","Yes","No","No","TMI","No","Yes","Tunes","Technology","Yes","Yes","Yes","No","Yes","Demanding","No","PC","Yes","Cautious","No","Yes!","No","Socialize","No","Online","No","Yes","No","Yes","Grrr people","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Rent","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes"
3520,15,"Female",62.5,"Single (no kids)","Current K-12","No","Yes","No","No","No","No","Private","No","Yes","No","Yes","No","No","Yes","Art","Try first","No","Yes","No","No","Giving","No","Yes","Pragmatist","No","Yes","Hot headed","Standard hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","No","Circumstances","Yes","Yes","Yes","Yes","Yes","Mysterious","No","No","Tunes","People","No","Yes","Yes","Yes","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Socialize","Yes","In-person","No","No","Yes","Yes","Grrr people","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","Own","Pessimist","Mom","No","Yes","No","Yes","Check!","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
3521,21,"Male",12,"Single (no kids)","Current K-12","Yes","No","No","No","No","No","Public","Yes","No","No","No","No","No","Yes","Science","Study first","No","Yes","No","No","Receiving","No","No","Pragmatist","No","No","Hot headed","Odd hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","Yes","Yes","No","Yes","No","Mysterious","No","No","Talk","People","Yes","Yes","No","No","Yes","Supportive","No","PC","No","Cautious","No","Umm...","No","Socialize","No","In-person","No","No","Yes","Yes","Yay people!","No","No","No","No","No","No","No","No","No","No","Yes","No","Rent","Pessimist","Dad","Yes","No","No","No","Nope","No","No","No","Yes","Yes","No","Yes","No","Yes","No"
3535,26,"Female",12,"Single (w/kids)","High School Diploma","Yes","Yes","Yes","No","No","Yes","Public","Yes","Yes","Yes","Yes","Yes","No","Yes","Art","Study first","Yes","No","No","No","Giving","Yes","No","Pragmatist","Yes","Yes","Hot headed","Odd hours","No","Happy","No","Yes","No","Yes","P.M.","No","End","No","No","Me","Yes","No","Yes","Yes","Yes","TMI","Yes","No","Tunes","Technology","Yes","Yes","Yes","Yes","No","Supportive","No","Mac","Yes","Risk-friendly","No","Yes!","Yes","Space","No","Online","No","No","Yes","No","Grrr people","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","Rent","Pessimist","Mom","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No"
3537,31,"Male",12,"Single (no kids)","Current Undergraduate","No","No","No","No","No","No","Public","No","Yes","Yes","No","No","Yes","Yes","Science","Study first","Yes","No","No","No","Receiving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Right","Yes","No","Yes","No","A.M.","Yes","Start","Yes","No","Me","Yes","No","No","No","Yes","Mysterious","No","No","Talk","Technology","No","Yes","Yes","Yes","No","Supportive","Yes","PC","No","Cautious","Yes","Yes!","No","Space","No","Online","Yes","No","Yes","Yes","Grrr people","No","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","Own","Optimist","Dad","No","Yes","No","Yes","Nope","Yes","No","No","No","No","No","Yes","No","No","Yes"
3543,50,"Female",87.5,"Single (no kids)","Bachelor's Degree","No","No","No","Yes","Yes","Yes","Public","No","No","No","Yes","No","No","Yes","Science","Study first","No","No","No","No","Giving","Yes","Yes","Pragmatist","Yes","Yes","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","Yes","End","No","Yes","Me","No","Yes","Yes","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","No","No","Yes","Supportive","Yes","PC","No","Cautious","No","Umm...","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Own","Pessimist","Dad","No","Yes","Yes","No","Nope","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes"
3550,21,"Male",12,"Single (no kids)","Current Undergraduate","No","Yes","No","No","No","Yes","Private","No","Yes","Yes","No","Yes","Yes","Yes","Science","Try first","Yes","No","Yes","No","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Right","Yes","No","No","Yes","P.M.","No","Start","Yes","No","Circumstances","No","No","Yes","No","No","TMI","Yes","No","Tunes","People","No","No","Yes","No","Yes","Supportive","Yes","PC","Yes","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","No","No","Yes","No","No","No","No","No","No","No","No","No","Rent","Optimist","Mom","No","No","No","Yes","Check!","No","No","No","Yes","No","No","Yes","Yes","No","Yes"
3552,58,"Male",62.5,"Married (no kids)","Master's Degree","Yes","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","No","Yes","Yes","Yes","Science","Try first","No","Yes","Yes","Yes","Giving","Yes","No","Idealist","No","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","End","Yes","Yes","Circumstances","Yes","No","Yes","No","No","TMI","No","No","Talk","People","Yes","Yes","No","No","Yes","Supportive","Yes","PC","Yes","Cautious","Yes","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Rent","Optimist","Mom","Yes","Yes","Yes","Yes","Nope","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
3554,30,"Male",12,"Single (no kids)","Associate's Degree","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Art","Try first","No","No","No","Yes","Receiving","No","No","Idealist","No","No","Cool headed","Standard hours","No","Happy","No","Yes","No","No","A.M.","No","Start","No","No","Circumstances","Yes","No","Yes","No","No","TMI","Yes","No","Tunes","Technology","No","Yes","Yes","No","Yes","Demanding","No","Mac","Yes","Risk-friendly","Yes","Yes!","Yes","Socialize","No","In-person","No","No","Yes","Yes","Grrr people","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Rent","Pessimist","Dad","No","Yes","No","No","Nope","Yes","No","No","No","No","No","Yes","Yes","No","No"
3560,22,"Female",12,"Single (no kids)","Current Undergraduate","Yes","Yes","Yes","No","Yes","No","Public","No","Yes","Yes","Yes","No","Yes","Yes","Art","Study first","Yes","Yes","Yes","No","Receiving","Yes","No","Pragmatist","No","No","Hot headed","Standard hours","No","Right","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","No","No","No","Yes","No","Mysterious","Yes","No","Tunes","People","No","Yes","Yes","No","No","Supportive","No","PC","Yes","Risk-friendly","No","Yes!","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","No","No","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Own","Optimist","Dad","Yes","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No"
3563,47,"Male",125,"Married (w/kids)","Bachelor's Degree","Yes","No","No","No","No","Yes","Public","No","No","No","Yes","Yes","No","Yes","Science","Study first","No","Yes","No","No","Giving","No","Yes","Idealist","Yes","No","Hot headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","No","End","Yes","Yes","Me","Yes","No","No","No","No","Mysterious","No","Yes","Talk","Technology","Yes","No","Yes","Yes","No","Supportive","No","PC","No","Risk-friendly","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Own","Optimist","Dad","Yes","Yes","No","Yes","Nope","Yes","No","No","No","Yes","No","Yes","No","No","Yes"
3572,33,"Male",125,"Married (no kids)","Bachelor's Degree","Yes","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","Yes","Yes","No","Yes","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","No","No","Yes","Yes","P.M.","Yes","Start","No","Yes","Me","No","No","No","Yes","No","Mysterious","Yes","Yes","Tunes","Technology","Yes","Yes","Yes","No","Yes","Demanding","Yes","PC","Yes","Cautious","No","Umm...","No","Space","Yes","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Own","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No"
3574,21,"Male",12,"Single (no kids)","Current Undergraduate","No","No","No","No","No","No","Public","No","Yes","No","No","Yes","Yes","Yes","Art","Study first","No","No","No","Yes","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","End","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","No","No","Talk","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Socialize","No","In-person","No","No","No","Yes","Yay people!","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Rent","Optimist","Mom","No","No","No","Yes","Nope","Yes","No","No","No","Yes","No","Yes","No","No","No"
3580,28,"Male",62.5,"Married (no kids)","Bachelor's Degree","No","Yes","No","Yes","Yes","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Try first","Yes","Yes","Yes","No","Giving","No","No","Idealist","No","Yes","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","Yes","Me","Yes","No","No","Yes","Yes","TMI","Yes","Yes","Tunes","Technology","No","Yes","Yes","No","No","Supportive","Yes","PC","Yes","Cautious","No","Umm...","No","Socialize","No","In-person","Yes","No","Yes","Yes","Grrr people","No","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Rent","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Only-child","Yes","No","Yes"
3583,24,"Female",37.5,"Married (w/kids)","Associate's Degree","No","No","No","No","No","Yes","Public","Yes","Yes","No","No","Yes","No","No","Art","Study first","No","No","Yes","No","Giving","No","Yes","Idealist","No","Yes","Hot headed","Standard hours","No","Happy","Yes","No","Yes","Yes","P.M.","No","End","No","Yes","Me","Yes","Yes","No","No","Yes","TMI","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Socialize","No","Online","No","No","Yes","Yes","Grrr people","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Rent","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","No","Yes","No","Yes","No","No","No"
3586,66,"Male",37.5,"Single (no kids)","Associate's Degree","No","No","No","No","Yes","Yes","Public","Yes","Yes","No","No","No","No","Yes","Art","Try first","No","Yes","No","Yes","Giving","Yes","Yes","Pragmatist","Yes","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","P.M.","No","Start","No","No","Me","No","Yes","No","Yes","No","Mysterious","No","No","Tunes","Technology","No","No","Yes","No","Yes","Demanding","No","PC","Yes","Cautious","Yes","Yes!","No","Space","No","Online","No","No","Yes","Yes","Grrr people","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Own","Pessimist","Mom","Yes","Yes","No","Yes","Nope","Yes","Yes","No","No","Yes","No","Yes","No","No","No"
3588,22,"Female",12,"Single (no kids)","Current Undergraduate","Yes","Yes","Yes","No","Yes","Yes","Public","No","Yes","No","Yes","Yes","Yes","No","Science","Study first","Yes","Yes","No","No","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","Yes","Yes","P.M.","Yes","End","No","Yes","Me","No","Yes","No","No","Yes","TMI","Yes","No","Tunes","People","No","Yes","Yes","No","No","Demanding","No","PC","No","Cautious","No","Umm...","Yes","Space","No","In-person","No","No","Yes","No","Grrr people","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Rent","Optimist","Mom","No","Yes","Yes","No","Nope","Yes","Yes","No","Yes","No","No","Only-child","No","No","Yes"
3590,73,"Male",12,"Single (no kids)","Master's Degree","No","No","No","No","Yes","Yes","Public","Yes","No","No","Yes","Yes","No","Yes","Science","Try first","No","Yes","Yes","Yes","Giving","Yes","Yes","Pragmatist","Yes","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","Yes","Circumstances","Yes","No","No","Yes","Yes","Mysterious","No","Yes","Talk","People","Yes","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Own","Optimist","Dad","Yes","No","No","Yes","Check!","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
3598,28,"Female",62.5,"Single (no kids)","Bachelor's Degree","Yes","No","No","No","No","No","Private","Yes","Yes","No","Yes","Yes","Yes","Yes","Art","Study first","No","No","No","Yes","Giving","Yes","No","Pragmatist","Yes","Yes","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","Yes","P.M.","Yes","End","Yes","No","Circumstances","No","Yes","Yes","Yes","Yes","TMI","Yes","No","Tunes","People","Yes","No","Yes","No","Yes","Supportive","No","PC","No","Cautious","Yes","Umm...","No","Socialize","Yes","In-person","Yes","Yes","Yes","Yes","Grrr people","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","Rent","Pessimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Only-child","No","Yes","Yes"
3607,36,"Male",87.5,"Single (no kids)","Doctoral Degree","No","Yes","No","Yes","No","No","Public","No","No","No","Yes","No","Yes","Yes","Science","Study first","No","Yes","No","Yes","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","Yes","P.M.","Yes","Start","Yes","No","Me","No","Yes","Yes","Yes","No","Mysterious","No","Yes","Talk","Technology","Yes","No","No","No","Yes","Supportive","No","Mac","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","No","Yes","Yes","Yay people!","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Own","Optimist","Dad","No","Yes","No","Yes","Check!","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
3613,29,"Female",37.5,"Married (w/kids)","Current Undergraduate","No","No","No","No","Yes","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Try first","Yes","Yes","Yes","No","Giving","No","No","Idealist","No","Yes","Hot headed","Odd hours","No","Happy","No","Yes","No","Yes","A.M.","No","End","Yes","Yes","Me","Yes","No","No","No","Yes","TMI","No","No","Tunes","Technology","Yes","Yes","No","Yes","Yes","Demanding","Yes","Mac","Yes","Cautious","No","Umm...","No","Space","No","Online","Yes","No","Yes","No","Grrr people","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","Rent","Optimist","Dad","Yes","Yes","Yes","Yes","Check!","Yes","No","No","Yes","No","Yes","Yes","No","No","No"
